"tweet","date"
"Polisi mengklaim ingin tahu maksud warga bernama Ismail Ahmad mengunggah kutipan kesohor soal ""tiga jenis polisi jujur"" di Facebook.","17/6/2020 00.00.00"
"Zenius, you're breathtaking","17/6/2020 00.00.00"
"Kaggle's CORD-19 Challenge has asked the AI research community to apply text and data mining approaches to find answers to questions within, and connect insights across, a vast amount of SARS-CoV-2 coronavirus-related literature || [READ]","17/6/2020 00.00.00"
"2020 can't be any worse

World War 3: India slaughters 5 Chinese soldiers in bloody massacre- border tensions erupt http://shr.gs/eZ3xsXm","16/6/2020 00.00.00"
"Hegel merupakan seorang filsuf yang banyak pengikutnya seperti Sartre dan Marx, tetapi banyak pula penentangnya seperti Kierkegaard dan Nietzsche. Ia dikenal dengan metode dialektika serta karya fenomenalnya berjudul Phenomenology of the Spirit. Pemikirannya apasih?

- a thread!","15/6/2020 00.00.00"
"Klo pernah nyontek gmn? Ya gpp akuin aja pernah salah. Wajar, ga usah hakimi diri sendiri. Jangan diulangin dan dibenarkan. Apalagi diglorifikasi, pake alasan ini itu, nyalahin sistem pendidikan segala.","20/6/2020 00.00.00"
"Pernah dengar “Jangan stres karena nilai TO karena soal TO itu sulit dan ga relevan sama UTBK.” ?","17/6/2020 00.00.00"
"Polisi mengklaim ingin tahu maksud warga bernama Ismail Ahmad mengunggah kutipan kesohor soal ""tiga jenis polisi jujur"" di Facebook.","17/6/2020 00.00.00"
"Zenius, you're breathtaking","17/6/2020 00.00.00"
"Kaggle's CORD-19 Challenge has asked the AI research community to apply text and data mining approaches to find answers to questions within, and connect insights across, a vast amount of SARS-CoV-2 coronavirus-related literature || [READ]","17/6/2020 00.00.00"
"2020 can't be any worse

World War 3: India slaughters 5 Chinese soldiers in bloody massacre- border tensions erupt http://shr.gs/eZ3xsXm","16/6/2020 00.00.00"
"Hegel merupakan seorang filsuf yang banyak pengikutnya seperti Sartre dan Marx, tetapi banyak pula penentangnya seperti Kierkegaard dan Nietzsche. Ia dikenal dengan metode dialektika serta karya fenomenalnya berjudul Phenomenology of the Spirit. Pemikirannya apasih?

- a thread!","15/6/2020 00.00.00"
"1969: Margaret Hamilton alongside the code that got us to the moon
2019: Katie Bouman alongside the data that got us to the black hole","11/4/2019 00.00.00"
" https://t.co/0pZw1JBRWi","14/6/2020 00.00.00"
"Ahli Epidemiologi: Jangan Pakai Istilah New Normal, Indonesia itu Tidak Normal https://kumparan.com/kumparansains/ahli-epidemiologi-jangan-pakai-istilah-new-normal-indonesia-itu-tidak-normal-1tbVZdZCR9z?utm_source=kumMobile&utm_medium=twitter&utm_campaign=share&shareID=1eSGezFSw4Kc…","14/6/2020 00.00.00"
"Blessed torture","13/6/2020 00.00.00"
"Najis ching chong baperan","12/6/2020 00.00.00"
"History of physics in a few sentences. Mostly this is just for lols, but it's true that the number of mysteries that physics may help shine a light on in the next 100 years is exciting.","12/6/2020 00.00.00"
"Yang benar adalah nafsu birahi pada pandangan pertama. Waduh...","17/5/2020 00.00.00"
"Terimakasih Kalkukus 2, berkatmu aku baru ngeh maksudnya gradient descent","18/5/2020 00.00.00"
